,sample_size,power,avg_eta_sqr
1770,115,0.3333333333333333,0.8423583439696464
1771,115,0.4,0.8809848277975493
1772,115,0.43333333333333335,0.9212380599404882
1773,115,0.3,0.9539227157205089
1774,115,0.3333333333333333,0.9895616367269789
1775,115,0.5,1.0327957458105395
1776,115,0.5,1.0740743047192893
1777,115,0.5666666666666667,1.125740149748701
1778,115,0.4,1.1633540048374478
1779,115,0.4666666666666667,1.200317948485417
1780,115,0.4666666666666667,1.2412888677018692
1781,115,0.5,1.2781909845061283
1782,115,0.3333333333333333,1.3101215200774081
1783,115,0.4666666666666667,1.3526168969721903
1784,115,0.4666666666666667,1.392534137661295
1785,115,0.5333333333333333,1.4394010040489846
1786,115,0.43333333333333335,1.4872553882225197
1787,115,0.5,1.5260116407193853
1788,115,0.36666666666666664,1.5557214143037759
1789,115,0.4666666666666667,1.6049822203139692
1790,115,0.5666666666666667,1.6514155681343807
1791,115,0.43333333333333335,1.6943450459990281
1792,115,0.4,1.7296217199840695
1793,115,0.5,1.7731902454703983
1794,115,0.43333333333333335,1.8076182332704371
1795,115,0.4666666666666667,1.8479090020477915
1796,115,0.5333333333333333,1.894172503078322
1797,115,0.5,1.9388219132591236
1798,115,0.5333333333333333,1.9882684553005563
1799,115,0.43333333333333335,2.026320597798669
1800,118,0.43333333333333335,0.04078364567156169
1801,118,0.6,0.08681536878128772
1802,118,0.3333333333333333,0.11755196761170655
1803,118,0.5333333333333333,0.16465179421506942
1804,118,0.5333333333333333,0.2078777964167596
1805,118,0.5,0.256992671510568
1806,118,0.36666666666666664,0.289668934145396
1807,118,0.5333333333333333,0.3288823601876919
1808,118,0.4666666666666667,0.36718359848513615
1809,118,0.43333333333333335,0.4067509237699053
1810,118,0.7,0.4574603640680252
1811,118,0.5,0.4943655009739253
1812,118,0.36666666666666664,0.5213727743364494
1813,118,0.6333333333333333,0.5682465832829792
1814,118,0.5333333333333333,0.6121685500113085
1815,118,0.6333333333333333,0.660668630279883
1816,118,0.3333333333333333,0.6966618787758646
1817,118,0.36666666666666664,0.7306019129885363
1818,118,0.3333333333333333,0.7615417689906141
1819,118,0.5666666666666667,0.8080773805444957
1820,118,0.5,0.8502230163570771
1821,118,0.5,0.8899074490816361
1822,118,0.4666666666666667,0.9331539753121928
1823,118,0.3333333333333333,0.9638747679419033
1824,118,0.4,0.9987099561144779
1825,118,0.6666666666666666,1.0486236991553322
1826,118,0.4,1.080463765261272
1827,118,0.4666666666666667,1.1131247651793743
1828,118,0.43333333333333335,1.1558933810196386
1829,118,0.6,1.20551918007677
1830,118,0.5333333333333333,1.2418260061819595
1831,118,0.4,1.2806698993275958
1832,118,0.4666666666666667,1.3162931003860303
1833,118,0.4666666666666667,1.3586283287219034
1834,118,0.36666666666666664,1.3948375400691868
1835,118,0.5333333333333333,1.4397694710246325
1836,118,0.4666666666666667,1.4831276758284373
1837,118,0.4666666666666667,1.5231660549729191
1838,118,0.5,1.5684751551936058
1839,118,0.5666666666666667,1.6094047918727352
1840,118,0.5,1.646036307960962
1841,118,0.5,1.6863703383870066
1842,118,0.5666666666666667,1.7292758086371574
1843,118,0.4,1.7671239736891815
1844,118,0.5666666666666667,1.8096791844280669
1845,118,0.43333333333333335,1.846230667719502
1846,118,0.43333333333333335,1.8897922557245976
1847,118,0.6,1.9408940916808686
1848,118,0.4666666666666667,1.970831106737534
1849,118,0.4,2.0175489678405985
1850,121,0.5,0.04924682404802518
1851,121,0.5333333333333333,0.08922500156097671
1852,121,0.43333333333333335,0.12842158934137352
1853,121,0.4,0.16218219014970864
1854,121,0.5,0.20164750919349675
1855,121,0.43333333333333335,0.23689527342533923
1856,121,0.6,0.286316859375995
1857,121,0.5,0.32909688709898965
1858,121,0.43333333333333335,0.3652429510471162
1859,121,0.5333333333333333,0.41132685438502825
1860,121,0.5,0.45370551591670366
1861,121,0.5333333333333333,0.5031953151611753
1862,121,0.4666666666666667,0.5479584866287908
1863,121,0.6666666666666666,0.6060175100562153
1864,121,0.36666666666666664,0.639588715272385
1865,121,0.43333333333333335,0.6782513467409791
1866,121,0.5666666666666667,0.7249615411878829
1867,121,0.5,0.7601412403463209
1868,121,0.6333333333333333,0.8143599200922621
1869,121,0.6,0.8601085203970485
1870,121,0.36666666666666664,0.8928038634582474
1871,121,0.43333333333333335,0.931677635835637
