id,created_at,author_id,text,clean_text,code
1266794827359936513,2020-05-30 18:13:17+00:00,1188173161185058821,@NBCNews 18. FACTS: Floyd was murdered by a cop on camera with protesting onlookers and 3 other cops in a matter of 8 min. and NO ONE intervened. All 4 were fired and 1 was arrested/charged with murder 3 and manslaughter. FBI and DOJ and prosecutors are investigating.,18. FACTS: Floyd was murdered by a cop on camera with protesting onlookers and 3 other cops in a matter of 8 min. and NO ONE intervened. All 4 were fired and 1 was arrested/charged with murder 3 and manslaughter. FBI and DOJ and prosecutors are investigating.,-1
1266794835702407168,2020-05-30 18:13:19+00:00,1176360688442171392,@NBCNews So what? Out-of-staters can't protest the extrajudicial killing of an American citizen?,So what? Out-of-staters can't protest the extrajudicial killing of an American citizen?,-1
1266795178955702272,2020-05-30 18:14:41+00:00,1120193806513491968,@NBCNews He got the Obama voice inflections down lol,He got the Obama voice inflections down lol,-1
1266795325806739457,2020-05-30 18:15:16+00:00,1161463494128128001,@NBCNews *cough* George Soros *cough*,*cough* George Soros *cough*,-1
1266795338431676417,2020-05-30 18:15:19+00:00,1173769754416431111,@NBCNews Communist supremacist / Soros-funded Antifa.,Communist supremacist / Soros-funded Antifa.,-1
1266795563254714369,2020-05-30 18:16:12+00:00,507651165,@NBCNews the faces the sign lady is doing makes me think she is telling dirty jokes.....,the faces the sign lady is doing makes me think she is telling dirty jokes.....,-1
1266795864992870400,2020-05-30 18:17:24+00:00,14895761,@NBCNews Damned Badger Fans!,Damned Badger Fans!,-1
1266795965161385984,2020-05-30 18:17:48+00:00,786674636788535296,"@NBCNews As angry as Black Minnesotans are, it's outside agitators hijacking peaceful protests. These are professional sh*t starters using Mr. Floyd's murder to push anarchy. They travel to Black communities and F**K those communities up as was done in Ferguson.","As angry as Black Minnesotans are, it's outside agitators hijacking peaceful protests. These are professional sh*t starters using Mr. Floyd's murder to push anarchy. They travel to Black communities and F**K those communities up as was done in Ferguson.",-1
1266795980101468163,2020-05-30 18:17:52+00:00,1188173161185058821,"@NBCNews 19. FACT: Rioting began BEFORE arrests were made seeking Swift justice indicating the need for reform if our justice system. We need people held accountable in a fair, balanced and equal way in order to regain our trust in our system again.","19. FACT: Rioting began BEFORE arrests were made seeking Swift justice indicating the need for reform if our justice system. We need people held accountable in a fair, balanced and equal way in order to regain our trust in our system again.",-1
1266796019657986048,2020-05-30 18:18:01+00:00,712400872685182978,@NBCNews The officer in question could have been arrested next day &amp; they would still be out there claiming to protest &amp; commit crimes without any repercussion. Notice these ASSHOLES come with backpacks? I would like to examine the contents of a few of those.They must be in prison.,The officer in question could have been arrested next day & they would still be out there claiming to protest & commit crimes without any repercussion. Notice these ASSHOLES come with backpacks? I would like to examine the contents of a few of those.They must be in prison.,-1
1266796055594766336,2020-05-30 18:18:10+00:00,1242339018832056321,@NBCNews White Antifa Thugs,White Antifa Thugs,-1
1266796152789270528,2020-05-30 18:18:33+00:00,858758568606142464,@NBCNews Provide evidence,Provide evidence,-1
1266796183181119489,2020-05-30 18:18:40+00:00,3822178574,@NBCNews Struggling isn't always resisting arrest. It can also be an instinctive and irresistible struggle for survival. Passivity is not an option. #GeorgeFloyd https://t.co/uArKAR81mw,Struggling isn't always resisting arrest. It can also be an instinctive and irresistible struggle for survival. Passivity is not an option. #GeorgeFloyd https://t.co/uArKAR81mw,-1
1266796367059484673,2020-05-30 18:19:24+00:00,945182550,"@NBCNews You people are despicable.

It's called #solidarity. Folks care about issues like this. Infiltrators and hate groups always take advantage of protests and exploit them. The fact you're focusing on that and not the material conditions says a great deal.","You people are despicable.

It's called #solidarity. Folks care about issues like this. Infiltrators and hate groups always take advantage of protests and exploit them. The fact you're focusing on that and not the material conditions says a great deal.",-1
1266796434168459265,2020-05-30 18:19:40+00:00,960226339629535232,@NBCNews Did the LEOs check IDs and only arrest those from outside of Minnesota?,Did the LEOs check IDs and only arrest those from outside of Minnesota?,-1
1266796504234315782,2020-05-30 18:19:57+00:00,990442697487011840,"@NBCNews Former police officer turned social scientist breaks down the George Floyd Video and briefly outlines the Minneapolis Police Department use of force policy. 

https://t.co/rYFJY8LwJ9","Former police officer turned social scientist breaks down the George Floyd Video and briefly outlines the Minneapolis Police Department use of force policy. 

https://t.co/rYFJY8LwJ9",-1
1266796503634456577,2020-05-30 18:19:57+00:00,24104706,@NBCNews George Soros,George Soros,-1
1266796527378366465,2020-05-30 18:20:02+00:00,990442697487011840,"@NBCNews Former police officer turned social scientist breaks down the George Floyd Video and briefly outlines the Minneapolis Police Department use of force policy. 

https://t.co/rYFJY8LwJ9","Former police officer turned social scientist breaks down the George Floyd Video and briefly outlines the Minneapolis Police Department use of force policy. 

https://t.co/rYFJY8LwJ9",-1
1266796706605211648,2020-05-30 18:20:45+00:00,1238183904860934145,"@NBCNews Are any of the protesters right wing? #BillBarr @TheJusticeDept calling out ""leftist groups"" conveniently forgetting to mention ""right wing"" extremists &amp; corrupt elements of law enforcement. Why? @MSNBC @GOP @GOPChairwoman @GOPLeader @SenateGOP @HouseGOP #Trump @POTUS #protests","Are any of the protesters right wing? #BillBarr  calling out ""leftist groups"" conveniently forgetting to mention ""right wing"" extremists & corrupt elements of law enforcement. Why?       #Trump  #protests",-1
1266796733641744386,2020-05-30 18:20:51+00:00,1138325400,@NBCNews OMG.  I love this guy.  Calm and collected as a true leader should.  Matter of factly stating the truth that agitators are using this painful time to incite violence. #SaintPaul #JusticeForGeorgeFlyod #protests,OMG.  I love this guy.  Calm and collected as a true leader should.  Matter of factly stating the truth that agitators are using this painful time to incite violence. #SaintPaul #JusticeForGeorgeFlyod #protests,-1
1266796742449795073,2020-05-30 18:20:54+00:00,710873370255106048,@NBCNews Is this clown serious? White supremacy caused this terror?,Is this clown serious? White supremacy caused this terror?,-1
1266796760589930496,2020-05-30 18:20:58+00:00,2152575379,@NBCNews Every single person? No way.,Every single person? No way.,-1
1266796816517005312,2020-05-30 18:21:11+00:00,3880838811,@NBCNews Damn straight. Drag their asses out into the sunlight.,Damn straight. Drag their asses out into the sunlight.,-1
1266796867154837504,2020-05-30 18:21:23+00:00,1188173161185058821,@NBCNews 20. FACT: We The People feel deceived by our officials and have relinquished our powers to the WRONG people and only We The People have the power to fix it. In order for us to trust fully again we must know those who represent us.,20. FACT: We The People feel deceived by our officials and have relinquished our powers to the WRONG people and only We The People have the power to fix it. In order for us to trust fully again we must know those who represent us.,-1
1266797374262767616,2020-05-30 18:23:24+00:00,515833298,"@NBCNews @DeepState_sat I doubt it, this was nationwide protest, why bother traveling when you can have all the fun at home?","I doubt it, this was nationwide protest, why bother traveling when you can have all the fun at home?",-1
1266797532778303489,2020-05-30 18:24:02+00:00,1188173161185058821,@NBCNews 21. Please start paying attention to what's really happening before it's too late. The obvious appearance and assumption is Floyd was killed by a white cop so this MUST be racial but it doesn't HAVE to be. This becomes racial when WE allow it to. DON'T.,21. Please start paying attention to what's really happening before it's too late. The obvious appearance and assumption is Floyd was killed by a white cop so this MUST be racial but it doesn't HAVE to be. This becomes racial when WE allow it to. DON'T.,-1
1266797592282902528,2020-05-30 18:24:16+00:00,1701231379,@NBCNews @RoadRunnerI80 Plot twist. Arrested protesters were not from Minnesota. Antifa?,Plot twist. Arrested protesters were not from Minnesota. Antifa?,-1
1266797684700176387,2020-05-30 18:24:38+00:00,2868138116,@NBCNews Better contact trace them for #coronavirus as well. Lack of social distancing &amp; masks could cause hundreds of deaths...,Better contact trace them for #coronavirus as well. Lack of social distancing & masks could cause hundreds of deaths...,-1
1266798033632587776,2020-05-30 18:26:01+00:00,540073678,@NBCNews Antifa and Soros.  I'll send my bill.,Antifa and Soros.  I'll send my bill.,-1
1266798271542018051,2020-05-30 18:26:58+00:00,1188173161185058821,"@NBCNews 22. United WE stand, divided we fall. What happened to George Floyd should NEVER, EVER happen to ANYONE! I don't care what race they are because we all belong to the human race and no human should be treated like that especially by a cop! It's shameful!","22. United WE stand, divided we fall. What happened to George Floyd should NEVER, EVER happen to ANYONE! I don't care what race they are because we all belong to the human race and no human should be treated like that especially by a cop! It's shameful!",-1
1266798593740025859,2020-05-30 18:28:15+00:00,910684123299221504,"@NBCNews contract tracing could have saved most of the 100k covid dead
this govt doesn't give a shit about you","contract tracing could have saved most of the 100k covid dead
this govt doesn't give a shit about you",-1
1266798679626743808,2020-05-30 18:28:35+00:00,552464381,@NBCNews This is important to understand. Most of the protesters that are causing the problems are not from the area!!!,This is important to understand. Most of the protesters that are causing the problems are not from the area!!!,-1
1266798783444197376,2020-05-30 18:29:00+00:00,552464381,@NBCNews This happened during the Charlotte riots as well,This happened during the Charlotte riots as well,-1
1266798932031688705,2020-05-30 18:29:36+00:00,1188173161185058821,"@NBCNews 23. As humans we should be uniting against this injustice and seek justice but that shouldn't come at the cost of innocence. Business owners, buildings and cars didn't kill Floyd, that POS cop did and he needs to be held accountable, not everyone else.","23. As humans we should be uniting against this injustice and seek justice but that shouldn't come at the cost of innocence. Business owners, buildings and cars didn't kill Floyd, that POS cop did and he needs to be held accountable, not everyone else.",-1
1266798947227467776,2020-05-30 18:29:39+00:00,1193024907774283776,@NBCNews @merehut One way to find out where they are from is to arrest the ones destroying property and inciting violence and check their MAGA IDs.,One way to find out where they are from is to arrest the ones destroying property and inciting violence and check their MAGA IDs.,-1
1266798963593637888,2020-05-30 18:29:43+00:00,893280403552739328,@NBCNews @klia00 THANK YOU @NBCNews for following the real story here. Keep it up!,THANK YOU  for following the real story here. Keep it up!,-1
1266798978970062850,2020-05-30 18:29:47+00:00,3237266263,@NBCNews Prosecute them and ruin their lives,Prosecute them and ruin their lives,-1
1266799061488861184,2020-05-30 18:30:06+00:00,517697964,"@NBCNews You need to arrest whoever did the autopsy of Mr. George Floyd 
#riots2020","You need to arrest whoever did the autopsy of Mr. George Floyd 
#riots2020",-1
1266799219584782336,2020-05-30 18:30:44+00:00,788024747405799424,"@NBCNews @carlquintanilla What the hell does that mean? Where did they come from? Nebraska? South Dakota? Iowa? And just exactly what is the significance of that, if true? Outside agitators? Sounds like a political statement rather than a fact.","What the hell does that mean? Where did they come from? Nebraska? South Dakota? Iowa? And just exactly what is the significance of that, if true? Outside agitators? Sounds like a political statement rather than a fact.",-1
1266799267550724096,2020-05-30 18:30:56+00:00,2198395165,@NBCNews Told you.,Told you.,-1
1266799399427993601,2020-05-30 18:31:27+00:00,2662887008,"@NBCNews Such riot is going to destroy the Democrat Party.

Most progressives fully understand what is happening and more and more of them is going to vote for Green in the coming election.

The death of Mr. Floyd is used as a political tool by the DNC.😡","Such riot is going to destroy the Democrat Party.

Most progressives fully understand what is happening and more and more of them is going to vote for Green in the coming election.

The death of Mr. Floyd is used as a political tool by the DNC.😡",-1
1266799535562555392,2020-05-30 18:31:59+00:00,3178635840,@NBCNews I knew it.  This wasn't about George Floyd for them.  This was an opportunity to cause chaos.  This was ANTIFA.,I knew it.  This wasn't about George Floyd for them.  This was an opportunity to cause chaos.  This was ANTIFA.,-1
1266799573282050051,2020-05-30 18:32:08+00:00,118916418,@NBCNews What a coon ass sellout on the corporate gravy train,What a coon ass sellout on the corporate gravy train,-1
